"repository"	"path"	"line"	"text"
"code"	"experiments/tier/ladder_table.py"	"107"	"""(`plans/BP24-findings.md` §1).*"""
"code"	"experiments/tier/low_rate_validate.py"	"21"	"#: ROADMAP §3 names 24 fps. Recorded on every point so a later bitrate"
"code"	"experiments/tier/motion_survey.py"	"3"	"`plans/done/BP24-findings.md` §7 records both of BP24's headline ratios as the *easy*"
"code"	"experiments/tier/panorama_span.py"	"39"	"windows (`plans/done/BP24-findings.md` §11): `alcaraz_highlights/scene_000`"
"code"	"experiments/tier/plate_codec_curves.py"	"23"	"Encoder presets are not equal effort across codecs (`plans/done/BP24-findings.md`"
"code"	"experiments/tier/plate_codec_curves.py"	"29"	"**Scope.** This prices the `panorama-full` arm only. `plans/done/BP31-findings.md` §1"
"code"	"experiments/tier/plate_codec_sweep.py"	"5"	"`make_background` (`plans/BP24-findings.md` §6), and every sweep since has moved"
"code"	"experiments/tier/plate_codec_sweep.py"	"94"	"#: would rather operate, and `plans/BP24-findings.md` §16 measured the intra"
"code"	"experiments/tier/plate_codec_sweep.py"	"134"	"ffmpeg fell back to. `plans/BP24-findings.md` §14 is the case where an"
"code"	"experiments/tier/plate_codec_sweep.py"	"333"	"""every quality it returns (plans/BP24-findings.md §14)."""
"code"	"experiments/tier/plate_codec_sweep.py"	"423"	"(`plans/BP24-findings.md` §8)."
"code"	"experiments/tier/plate_codec_sweep.py"	"573"	"# re-encode in `plans/BP24-findings.md` §14."
"code"	"experiments/tier/plate_codec_sweep.py"	"718"	"a second encoder — `plans/BP24-findings.md` §14."
"code"	"experiments/tier/plate_codec_sweep.py"	"1080"	"""(plans/BP24-findings.md §6)."""
"code"	"experiments/tier/plate_delta.py"	"3"	"`plans/done/BP24-findings.md` §17 closed this door on the wrong evidence. It measured"
"code"	"experiments/tier/plate_interframe.py"	"3"	"`plans/done/BP24-findings.md` §17 tested the wrong mechanism. It subtracted two plates"
"code"	"experiments/tier/plate_lowdelay.py"	"3"	"`plans/done/BP24-findings.md` §18 measured that coding the next plate as a P-frame"
"code"	"experiments/tier/plate_lowdelay.py"	"4"	"against the previous saves 31-53% with av1. `plans/done/BP30-background-stream.md` §1"
"code"	"experiments/tier/plate_probe.py"	"3"	"Both come out of `plans/done/BP24-ladder-report.md`, and both are asked before any"
"code"	"experiments/tier/plate_register.py"	"3"	"`plans/done/BP24-findings.md` §17 measured that two scenes' first frames differ by"
"code"	"experiments/tier/run.py"	"193"	"Named in the Phase C gate (`plans/done/RESEARCH-HISTORY.md` §8): a residual-absent run has to"
"code"	"experiments/tier/scene_plates.py"	"3"	"BP24's ladder measured two clips. `https://github.com/emanuele-artioli/PointStream/blob/ec581e9/plans/prompts/claude-bp30.md` is explicit"
"code"	"experiments/tier/span_sweep.py"	"3"	"Brief: `plans/BP33-span-amortisation.md`, written by a parallel session and"
"code"	"experiments/tier/span_sweep.py"	"11"	"BP21 cache holds forty-eight, and `plans/done/RESEARCH-HISTORY.md` §2.14's headroom was measured over"
"code"	"experiments/tier/span_sweep.py"	"16"	"`plans/done/BP31-findings.md` §9's BD-rate was taken at, so the numbers here are"
"code"	"experiments/tier/span_sweep.py"	"30"	"control from `plans/done/BP31-findings.md` §5 carried at every point. A longer span"
"code"	"experiments/tier/span_sweep.py"	"206"	"""brief"": ""plans/BP33-span-amortisation.md"","
"code"	"experiments/tier/stream_codec_sweep.py"	"4"	"`plans/done/BP31-paired-ladder-across-scenes.md` §0 asks for a `background.codec`"
"code"	"experiments/tier/stream_codec_sweep.py"	"6"	"stream on at the same time. `plans/done/BP31-findings.md` §1 measured that this"
"code"	"experiments/tier/stream_codec_sweep.py"	"24"	"would be measuring the flags (`plans/done/BP24-findings.md` §1). Each codec's number"
"code"	"experiments/tier/stream_codec_sweep.py"	"29"	"BP30 made, so the ratio sits on the axis `plans/done/RESEARCH-HISTORY.md` §2.22 already reports. A real"
"code"	"scripts/bp25_rescore.py"	"5"	"matches PLAN.md §2.10: 20 diffusion steps, 12 probe clips, offsets 1–8,"
"code"	"scripts/bp25_rescore.py"	"63"	"""same protocol as PLAN.md §2.10. The 4-step stop-eval is calibrated """
"code"	"scripts/bp25_rescore.py"	"79"	"""BP19 L206-211 and PLAN.md §2.10. Pose roster 0.6031; paste ~0.45; """
"code"	"scripts/bp8_coding_task.py"	"211"	"""PLAN.md §2.3 measured 11.82 dB object-scoped for paste-the-keyframe """
"code"	"scripts/bp8_coding_task.py"	"230"	"""(PLAN.md §2.4)."""
"code"	"scripts/bp8_coding_task.py"	"268"	"""djokovic_zverev (PLAN.md §2.4). Probe clips are the 5 training-split """
"code"	"scripts/train_controlnet.py"	"211"	"""recipe that already failed (PLAN.md §2.4)."""
"code"	"src/components/background/sidecar.py"	"9"	"PointStream's payload at every rung of every sweep (`plans/done/BP24-findings.md`"
"code"	"src/components/background/sidecar.py"	"23"	"discipline that makes a BD-rate readable breaks (`plans/done/BP24-findings.md` §1)."
"code"	"src/components/background/sidecar.py"	"334"	"(`plans/done/BP24-findings.md` §14)."
"code"	"src/components/background/strategy.py"	"303"	"(`plans/done/BP30-findings.md` §29): 49.2% +- 6.2% of coding every plate fresh,"
"code"	"src/components/background/stream.py"	"3"	"`plans/done/BP24-findings.md` §18 measured that coding the next plate as a P-frame"
"code"	"src/components/background/stream.py"	"5"	"**causal**: unchanged to the byte with `-lag-in-frames 0`. `plans/done/BP30-background-stream.md`"
"code"	"src/components/background/stream.py"	"57"	"#: Reference-selection modes, `plans/done/BP30-background-stream.md` §3."
"code"	"src/components/codec/measure.py"	"4"	"and every byte count it reported was raw pixels (`plans/done/RESEARCH-HISTORY.md` §2.16). A raw count"
"code"	"src/components/codec/measure.py"	"133"	"common-PSNR reading (`plans/done/RESEARCH-HISTORY.md` §2.14)."
"code"	"src/components/metrics/bd_rate.py"	"29"	"#: -0.88 over a range where nothing was resolved (`plans/done/BP24-findings.md` §2)."
"code"	"src/components/metrics/bd_rate.py"	"179"	"the relative guard cannot see (`plans/done/BP24-findings.md` §2)."
"code"	"src/components/metrics/reid.py"	"8"	"output (``plans/done/RESEARCH-HISTORY.md`` §2.10)."
"code"	"src/contracts/config.py"	"209"	"#: `panorama-stream`. Measured over five videos (`plans/done/BP30-findings.md`"
"code"	"src/contracts/domain.py"	"100"	"#: which `plans/done/BP24-findings.md` §17 measured costing 1.49-1.70x *more* bytes at"
"code"	"src/runner/accounting.py"	"41"	"`plans/done/BP30-findings.md` §22 is the measurement this accounting has to carry."
"code"	"src/runner/accounting.py"	"53"	"# (`plans/done/RESEARCH-HISTORY.md` §3, BP24). Empty means every part was really coded."
"code"	"src/runner/run.py"	"145"	"`plans/BP24-findings.md` §4 describes — two real numbers belonging to two"
"code"	"src/runner/stages.py"	"695"	"# (`plans/done/BP30-findings.md` §§20-22); rebinding per chunk would hand it a"
"code"	"src/shared/training/stop.py"	"21"	"# Roster floors from plans/done/RESEARCH-HISTORY.md §2.10, 12 probe clips, offsets 1–8."
"code"	"tests/components/test_background_intra_sidecar.py"	"22"	"named no ``-c:v`` (`plans/done/BP24-findings.md` §14)."
"code"	"tests/components/test_background_intra_sidecar.py"	"132"	"until BP24 wired ``make_background`` (`plans/done/BP24-findings.md` §6), so"
"code"	"tests/components/test_background_stream.py"	"3"	"The property this file exists for is the one `https://github.com/emanuele-artioli/PointStream/blob/ec581e9/plans/prompts/claude-bp30.md`"
"code"	"tests/invariants/test_metric_calibration.py"	"400"	"# fired high, and the reason is recorded there and in PLAN.md: cosine"
"code"	"tests/invariants/test_metric_calibration.py"	"543"	"""PLAN.md and in the metric summary are anchored on ~0.42 and need re-stating"""
"code"	"tests/runner/test_accounting_information_content.py"	"7"	"cosmetic difference: the residual-coarseness curve (`plans/done/RESEARCH-HISTORY.md` §7 P0 item 3) is a"
"code"	"tests/runner/test_background_stream_stage.py"	"3"	"`plans/done/BP30-findings.md` §§20-22 measured that coding each scene's plate against"
"code"	"tests/runner/test_rate_honesty.py"	"3"	"`plans/done/RESEARCH-HISTORY.md` §3: a path reports its ratio only when no component in it is still"
"code"	"tests/runner/test_run.py"	"252"	"# with `frames` is `plans/done/BP24-findings.md` §4 — two real numbers at two"
"code"	"tests/runner/test_tier_end_to_end.py"	"3"	"This is the gate for `plans/done/RESEARCH-HISTORY.md` §7 P0 item 1. It exists because the three parts"
"code"	"tests/runner/test_tier_end_to_end.py"	"9"	"generative engine on the roster loses to pasting the keyframe (`plans/done/RESEARCH-HISTORY.md` §2.10)"
"paper"	"AGENTS.md"	"83"	"the code repo's `plans/done/RESEARCH-HISTORY.md` section 5 and in Section~\ref{subsec:lattice} of the manuscript;"
"paper"	"CLAUDE.md"	"83"	"the code repo's `plans/done/RESEARCH-HISTORY.md` section 5 and in Section~\ref{subsec:lattice} of the manuscript;"
"paper"	"appendices/roi_verification.tex"	"27"	"% CLAIM(app:roi-avc): src=plans/DEFERRED.md (D3, code repo) date=2026-08-22"
"paper"	"archive/figures/README.md"	"17"	"| `players.pdf` | player crops | superseded; the current object-scoped protocol is `PLAN.md` §2.10 in the code repo |"
"paper"	"archive/figures/README.md"	"20"	"**Replacements are `plans/BP38-paper-infrastructure.md`'s job** in the code repo:"
"paper"	"sections/evaluation.tex"	"35"	"%   this measurement does not support; the plate work (PLAN.md P0 item 8) and a"
"paper"	"sections/evaluation.tex"	"158"	"%   experiments/tier/ladder.py. Narrative: plans/done/BP24-ladder-report.md."
"paper"	"sections/evaluation.tex"	"172"	"%   constraint: plans/done/BP31-paired-ladder-across-scenes.md."
"paper"	"sections/evaluation.tex"	"180"	"%   plans/done/BP30-findings.md section 29."
"paper"	"sections/evaluation.tex"	"187"	"%   Provenance: plans/done/BP24-findings.md section 1."
"paper"	"sections/evaluation.tex"	"194"	"%   rung returns visibly worse frames. Provenance: plans/done/BP24-findings.md"
"paper"	"sections/evaluation.tex"	"269"	"%   is a curve of the small term. Provenance: plans/done/BP24-findings.md section 13."
"paper"	"sections/evaluation.tex"	"337"	"%   videos). Option 2 of PLAN.md §2.4 is the default: report AA as in-domain"
"paper"	"sections/evaluation.tex"	"381"	"%   (PLAN.md §6.4). A whole-frame-only table would let a perfect background"
"paper"	"sections/evaluation.tex"	"398"	"%   report=plans/BP56-background-effort-report.md; date=2026-09-05. n=1"
"paper"	"sections/evaluation.tex"	"401"	"%   report=plans/BP57-acquisition-report.md; date=2026-09-05. Acquisition and"
"paper"	"sections/evaluation.tex"	"421"	"%   report=plans/done/BP53-measurement-provenance.md; date=2026-09-04."
"paper"	"sections/system_design.tex"	"113"	"%   Provenance: outputs/bp24-ladder/plate-probe.json, plans/done/BP29-plate-rate.md."
"paper"	"sections/system_design.tex"	"124"	"%   experiments/tier/background_stream.py. Narrative: plans/done/BP30-findings.md"
"paper"	"sections/system_design.tex"	"135"	"%   Provenance for causality under low delay: plans/done/BP24-findings.md section 19."
"paper"	"sections/system_design.tex"	"141"	"%   and keyframe interval. Design for that run: plans/done/BP31-paired-ladder-across-scenes.md."
"paper"	"sections/system_design.tex"	"146"	"%   the plate fresh (plans/done/BP24-findings.md section 17), which is why the stream"
"paper"	"sections/system_design.tex"	"157"	"%   of N frames is a delay of N scenes. Provenance: plans/done/BP24-findings.md"
"paper"	"sections/system_design.tex"	"164"	"%   measurement that says it should not. Provenance: plans/done/BP30-findings.md"
