"path"	"area"	"action"	"destination"	"lines"	"git_blob_at_base"	"working_sha256"	"recovery_url"	"review_flags"
"plans/BP41-ablation-lattice.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"126"	"0c22b9b9be642e6aa7801914327a4b9b8e2acaf7"	"508628460164a7ff92434f15045a37fd19b562d140c881a9c5b2d71cb09df78e"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP41-ablation-lattice.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/BP46-long-tennis-scenes.md"	"data"	"extract-retire"	"docs/areas/data.md; historical body via recovery URL"	"139"	"944f7a8462372fbac594c22ce13a7e90a763c136"	"8f25932c5d45cab617d4e481448bb26aa1f7d184fcce8b7abfa9388db4ee6031"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/BP46-long-tennis-scenes.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/DEFERRED.md"	"infrastructure"	"adjudicate-retire"	"area next-action queues; closed findings to history"	"241"	"f1d8b08e6c42e4b4e2e59a79510c1ac45193ae36"	"702416e00a7bceb9d338d8522aeb003192251ab6e1cd493f75967639078ba551"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/DEFERRED.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/DISPATCH-GATE-A-48FRAME-RUN.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md + docs/history/findings.md; report to commit permalink"	"218"	"8e7cc3387387aabeba3e56a85b564408a291517e"	"38e398488da75de9a41eef36f0d496e171cc58ffb0cef10be8633d0b7006a746"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/DISPATCH-GATE-A-48FRAME-RUN.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/ENGINE-ROSTER.md"	"generation"	"reconcile-retire"	"docs/areas/generation.md; old numeric roster to commit permalink"	"124"	"916e459274800d2b4910f2e6517a0f02a7457f69"	"0e0e7a7376585ce94356469a405abb6b448cb14bd98a5f0d62797ab9ab0a0471"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/ENGINE-ROSTER.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/GATE-A-LONG-CONTEXT-2026-09-05.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; frozen protocol to commit permalink"	"235"	"4e5ce2f6d619c8121771986013fcba9f7acf1de9"	"b751510852bc82bfb0b1f1c0d7b9a9be65740fa561e54452cf9476e187b84660"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/GATE-A-LONG-CONTEXT-2026-09-05.md"	""
"plans/PAPER-NEXT.md"	"paper"	"reconcile-retire"	"docs/areas/paper.md"	"55"	"f312e921a2acef90a1cc3b003736a794ef6b999e"	"2e72f0af32b4ef9640b8b8a15e4c4740ebe338cef013ba8b3344fbfe1c891f1f"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/PAPER-NEXT.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/PLAN-GATE-A-COMPETITIVE-REGIME.md"	"evaluation"	"reconcile-retire"	"docs/areas/codec.md + docs/areas/evaluation.md + docs/areas/infrastructure.md"	"138"	"0dc1872cba996dc0c5665af4cc16bbe055411174"	"edc690cd431d880c0fce9b8fe038ed9d70245e864149dd772f003c59636f6c35"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/PLAN-GATE-A-COMPETITIVE-REGIME.md"	"contains status/validity/open-work text; adjudicate before retirement; uncommitted user edits captured in user-edits.json"
"plans/README.md"	"infrastructure"	"retire"	"PLAN.md"	"43"	"4162fd081b13a09b1490ae0fd2928ffecdd9c6dd"	"f9d42f848d33a62c8dcbce3739a0b4b11d3e00f26ac92675007caf5ac2fb65a3"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/README.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/ROADMAP.md"	"infrastructure"	"split-retire"	"docs/roadmap.md + docs/areas/*.md"	"387"	"8c66eaa343547cd279d4b91d4a37ba0ad4951eac"	"d6b8270c70f93e58d912d4aca1e7f6dcaf4546f86a175a00424231490fd22a7f"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/ROADMAP.md"	"contains status/validity/open-work text; adjudicate before retirement; uncommitted user edits captured in user-edits.json"
"plans/SESSION-REPORT.md"	"infrastructure"	"convert-retire"	"docs/workflow/session/SKILL.md"	"53"	"ebdb369866f98e55751fa9a59cefd66667f1876c"	"a8429ba3b8467f0a143b7d4fa8cb47e6d9ddef6de512deb8ec95cf38843d739d"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/SESSION-REPORT.md"	"contains status/validity/open-work text; adjudicate before retirement"
"plans/SUBMISSION-READINESS-2026-09-05.md"	"infrastructure"	"reconcile-retire"	"PLAN.md + docs/areas/paper.md"	"92"	"bfb6e933628640a7c636283cce6e7f303cdb70c2"	"b2184b3e509b2dc567c3aa2dd4233d31deaea9b64abb963926a753d1cd49ce1e"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/SUBMISSION-READINESS-2026-09-05.md"	""
"plans/TERMINOLOGY.md"	"infrastructure"	"extract-retire"	"AGENTS.md plain writing rule; behavioral facts to codec/evaluation"	"57"	"f4e93d9729daaff5ca2b658c12b3ceec44004106"	"ec07633be776d0f7bee4154f342c1c1062b9dd086f73d0176785452997e98a21"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/TERMINOLOGY.md"	""
"plans/done/B1-codec.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"95"	"1bd24098d719e132f26e655ae7890f417cb57ff5"	"5fbc7c3ec885f4d0d0040a22aec3614f0587633126f45e5043ba2948aec9aaff"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B1-codec.md"	"done directory is NOT proof of completion"
"plans/done/B2-perception.md"	"data"	"extract-retire"	"docs/areas/data.md; historical body via recovery URL"	"81"	"10231a593da84c472752d730b693fde4f8f39694"	"12760d8179a60c2a463e8410617ca796d1a5b67aa6f5d8c997a422d0999620a1"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B2-perception.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/B3-generation.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"109"	"6ba516c83e44dd64b4c1f376e283e50c8c6e7aaf"	"2c38532b5ee5815e5aba59c01197568857b0cf2b147d2696f7fb11141230fa1b"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B3-generation.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/B4-background-rigid.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"58"	"3735005697cde5ecd340290be6143711b157c2a9"	"26479005891960470dd2a5f60c8d9b3c4fe98b95a2de49c99dae7630ca302bb6"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B4-background-rigid.md"	"done directory is NOT proof of completion"
"plans/done/B5-transport-temporal.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"53"	"b4caa67a8cdee5a6e2496d0f84515d8f2821532c"	"cddc5770bb53731b37e88dbb4b434ace32ceb086e985bbae92a2303c2750a451"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B5-transport-temporal.md"	"done directory is NOT proof of completion"
"plans/done/B6-metrics.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"92"	"b840cf30dee9ebc7475dd5719b681bd432ce059e"	"8c2aeed9dc38dd662fcd3ecca1c04ea5d93f8641005563f540b334321f903aa8"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B6-metrics.md"	"done directory is NOT proof of completion"
"plans/done/B7-domain.md"	"data"	"extract-retire"	"docs/areas/data.md; historical body via recovery URL"	"64"	"9aa60458e0a9415cd4d945c917f8b8e4fee20ab9"	"a0180131b24b3be774d9cfd1cd3186973dd4b7c6d178eddfed5f099cf2109bc8"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/B7-domain.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP1-probe-set.md"	"paper"	"extract-retire"	"docs/areas/paper.md; historical body via recovery URL"	"82"	"fffd8a88bc602ba1629e5e9b9dfee78c8b64a341"	"7628f4fd25772f93b4b4f7d276c11cc4079bd788187ee88f2430f0bbb33e928c"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP1-probe-set.md"	"done directory is NOT proof of completion"
"plans/done/BP10-appearance-pathway.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"110"	"d3212d9b8f1b8d8c9a8898cbb9490eb3191006b3"	"6df67eb024cbd8ed1a95c021156df36b380a588b1e00d0d96410c2dda58c787a"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP10-appearance-pathway.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP11-headroom-and-currency.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"93"	"a03a69f8b93cfb0aec9577b8da493d355a050a22"	"3df8f2358e0f6c4079a7fa7887357cdd6c11ba0a897e5e1f1a7ae3a2ac2bc794"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP11-headroom-and-currency.md"	"done directory is NOT proof of completion"
"plans/done/BP12-clip-mode-roster.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"207"	"ca7f6fb192484f4ffb0a3d96a7c2082efb0eb3f5"	"2fc56631410da09cdfb920617528485217455c53eab80908aef56953a025955a"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP12-clip-mode-roster.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP13-motivating-headroom.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"86"	"dd8e227ef478519f478996d7d211ab6c2cf6801d"	"a1f850b5f1a357bf191dbd055fbce72cbc83de68817819895733a3256895ee63"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP13-motivating-headroom.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP14-training-stop-rule.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"141"	"653f7b82f4a7ba70f0687df5984ed9b52d930bee"	"f0099788e7927479c3e4dbf614d96cb4da0a5500f45e7d5ed8af93778f7b6b0e"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP14-training-stop-rule.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP15-test-cull.md"	"infrastructure"	"extract-retire"	"docs/areas/infrastructure.md; historical body via recovery URL"	"151"	"4d03daafb19659fd4c5a2e75778591e5d6ed0ae0"	"4c7515a57cfe762f40a01a99ebf2ec99064c154ddfedae5e792e60b99d440626"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP15-test-cull.md"	"done directory is NOT proof of completion"
"plans/done/BP16-ci-signal.md"	"infrastructure"	"extract-retire"	"docs/areas/infrastructure.md; historical body via recovery URL"	"134"	"9d209b753aea7e9f8da0eb3751afa28f2f47ceaf"	"c1cccb87a6308d3b424d54d754bd25a9791b38b4540865169b89c1e91bbd5bf3"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP16-ci-signal.md"	"done directory is NOT proof of completion"
"plans/done/BP17-caption-channel.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"152"	"9e957c4dac7e4c885bea0ba5e6439915cdc64b23"	"572b3fd885edaacf58c51caa7bc4169eb968719680159bce22cb9a4ea958f798"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP17-caption-channel.md"	"done directory is NOT proof of completion"
"plans/done/BP18-appearance-identity-metric.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"186"	"cd1ccd0299bf98aa94a5ab05edc362a93237a9ff"	"95e207318fda820e014121dae6a7ca550b16b641f53f4ddb7dc6ccd22c7d78fc"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP18-appearance-identity-metric.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP19-conditioning-architecture.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"235"	"235e92064520778d200ed670aeb1cf83c2c268e3"	"0d78be0485b7a11da4c9b8e78e107bc551b34ad0135b7db110a495b5e6613808"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP19-conditioning-architecture.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion; previously deferred, NOT completed; preserve live next action"
"plans/done/BP2-region-metrics.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"79"	"a76312d0bbbaeee74bf4890dacb404e2be703d0b"	"6d01f82abeaee3559ab763a5dcacb009930953993cc51e1366f18937c41fedd8"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP2-region-metrics.md"	"done directory is NOT proof of completion"
"plans/done/BP20-headroom-real-ladder.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"171"	"b733b36b6f9bcd4e38cbb8d4233b6c374bfdb99c"	"277707f930be2b07135f45968893f557e771e3f34fc25249ae575cba4fa3ba6b"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP20-headroom-real-ladder.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP21-headroom-widen.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"257"	"214d4ecc919203558047e582a606f6e21468b1cd"	"1ea16c32b045f7f48838ab475741bb857a8d3aa25bb15a83b4c7d4348dfacaec"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP21-headroom-widen.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP22-test-boundary.md"	"infrastructure"	"extract-retire"	"docs/areas/infrastructure.md; historical body via recovery URL"	"87"	"2f5af2d3532e0183f4bb9bece3a1638c1a7fe50b"	"1e4e775589c876d70f9b5f87bfa8ffe04e6c05534791b7009213f34e2fc0e36d"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP22-test-boundary.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP23-first-tier-run.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"77"	"b8d35ff16c29177a57dcb931e9d2fa5fc6cc8113"	"713b66a4a7f805f4d1796da78f1ecdfd757fb2e2abb833cb4b48ec43137e8325"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP23-first-tier-run.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP24-encoder-boundary.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"198"	"79be13e7441a037d79ff5999f9721eb672f2b6f5"	"a50494337092237b973d8c854b956c83b6c0dc4371e816548e143abd89a42a92"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP24-encoder-boundary.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP24-findings.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"632"	"8bac68bc1e6c4204177b433f58409df881d892b8"	"992926ef681b380b1e9043dc34dd9c79ff9a6cac4b599a9a279ebb9141b032e7"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP24-findings.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP24-ladder-report.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"448"	"a25bb6d1aba580946486afc09b8425a9ce1946f2"	"c9989c9c84079925c949c78f3356a3636d02c94f703e96c295b2226dadc976d1"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP24-ladder-report.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP25-ip-adapter-rescore.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"42"	"b55b6e961d8a96120869c1daab3ef3ce1e76208b"	"6bcf8bf310651c5888dba90833496205d9f101a4aefec8ae1135bf872f92e555"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP25-ip-adapter-rescore.md"	"done directory is NOT proof of completion"
"plans/done/BP26-config-plumbing.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"68"	"c5edcd69fdf8385d020738f0de29c1145bcd5b9a"	"29314958ed68e08e48c0d5d27cea4eeb754ea117abd79a5cb41dbc4c71916ec5"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP26-config-plumbing.md"	"done directory is NOT proof of completion"
"plans/done/BP27-metric-invariants.md"	"evaluation"	"extract-retire"	"docs/areas/evaluation.md; historical body via recovery URL"	"53"	"71008481e69b6e2401f1284584af3a2cfd3c9f7a"	"63876b950bfb7321c075d9093e114af2dce7b3176922155e98b09d69af86f61a"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP27-metric-invariants.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP28-offset-crossover.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"73"	"36b30e5d6951ef50e26696548454bb5166ca078a"	"c1e0b4be2cc1c294f2189b5456de33554badbad5715c3e4d62666f24d44730d8"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP28-offset-crossover.md"	"done directory is NOT proof of completion; previously deferred, NOT completed; preserve live next action"
"plans/done/BP29-low-rate-report.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"400"	"48afd852c56fb060aec0d1345048aba9fb9e5f4b"	"233ff4eb38e477ab14d86ba3ef1addb599e1bf4726f28ac033bd0959ef94abc8"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP29-low-rate-report.md"	"done directory is NOT proof of completion"
"plans/done/BP29-panorama-report.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"313"	"a74207f90676310f8517c95094d08f8342ab8136"	"2c12c409aeaa5ab8f60b8f628fbecc72f5abe7469d93c260bd907117c5f9aa40"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP29-panorama-report.md"	"done directory is NOT proof of completion"
"plans/done/BP29-plate-codec-report.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"303"	"45669da77f02e32827c219658352d5e5ff5f7e87"	"21bc21f019a23d7191f36b7f457bbc54da3243e2ee1b598f5529d520fc0b7034"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP29-plate-codec-report.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP29-plate-rate.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"205"	"249df8e69fc8b21d85defa94aa538ad46abfd95b"	"1953da4359a47961a37fc7fed4dc70d5630f5f1ad3a76bb9f99bfe42dafe4441"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP29-plate-rate.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP3-generator-loaders.md"	"generation"	"extract-retire"	"docs/areas/generation.md; historical body via recovery URL"	"87"	"ac5461318e127b1f042311ccebdf5173102c91c8"	"8ddeeb63293d65626cadf5b5b3738cc55fda0a317b7a93b4cc0ce532eead9a95"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP3-generator-loaders.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
"plans/done/BP30-background-stream.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"213"	"5f4454dfd3711bc4b37827fcd4225b5b4a4df402"	"ddaa1ce074c518821f5dd00ea6c003c99da88797217911abaaf65df33a8e3a64"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP30-background-stream.md"	"done directory is NOT proof of completion"
"plans/done/BP30-findings.md"	"codec"	"extract-retire"	"docs/areas/codec.md; historical body via recovery URL"	"358"	"05d87ecc6fb04b87b24427817337b929f5a33108"	"7580daba059a2b70899d5058659f6db042ac7ded76de86a90f43de4e419c49ed"	"https://github.com/emanuele-artioli/PointStream/blob/bc09184d8707529f924a41d0dccc2b6f20e88d3e/plans/done/BP30-findings.md"	"contains status/validity/open-work text; adjudicate before retirement; done directory is NOT proof of completion"
